ID,SMILES
S1247,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
S1250,CNC(=O)C1=C(F)C=C(C=C1)N2C(=S)N(C(=O)C2(C)C)C3=CC=C(C#N)C(=C3)C(F)(F)F
S1251,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N
S1252,O.NC1=NC(=O)C2=C(N1)[N](C=N2)C3CC(O)C(CO)C3=C
S1255,NC(=O)CC1=CC=CC(=C1N)C(=O)C2=CC=CC=C2
S1256,NC(=O)C1=C[N](CC2=C(F)C=CC=C2F)N=N1
S1257,CCC(C(C)O)N1N=CN(C1=O)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(OCC5COC(C5)(C[N]6C=NC=N6)C7=CC=C(F)C=C7F)C=C4
S1258,CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C3CC3)C4=CC=CC=C4F)S1
S1259,CCC(=O)NCCC1CCC2=CC=C3OCCC3=C12
S1260,Cl.CC(NCCCC1=CC(=CC=C1)C(F)(F)F)C2=CC=CC3=C2C=CC=C3
S1261,CC1=CC=C(C=C1)C2=CC(=N[N]2C3=CC=C(C=C3)[S](N)(=O)=O)C(F)(F)F
S1267,CCC[S](=O)(=O)NC1=CC=C(F)C(=C1F)C(=O)C2=C[NH]C3=NC=C(C=C23)C4=CC=C(Cl)C=C4
S1271,CC1OC(OC2C(O)C(O)C(OC2CO)OC3C(O)C(O)C(O)OC3CO)C(O)C(O)C1NC4C=C(CO)C(O)C(O)C4O
S1276,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(O)=O)[C]45CC6[CH2][CH](C[CH]([CH2]6)C4)C5
S1278,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
S1280,CCN1CCCC1CNC(=O)C2=CC(=C(N)C=C2OC)[S](=O)(=O)CC
S1281,COC1=CC=C(C=C1)C(=O)N2CCCC2=O
S1282,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4
S1283,CN1CC2C(C1)C3=C(OC4=C2C=CC=C4)C=CC(=C3)Cl.OC(=O)\C=C/C(O)=O
S1284,Cl.CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=C(C=CC=C3)N(CC(O)=O)C2=O
S1286,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
S1287,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)[S](N)(=O)=O
S1289,CCCCCCNC(=O)N1C=C(F)C(=O)NC1=O
S1291,Cl.Cl.OC(=O)COCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3
S1293,COCCOC(=O)C1=C(C)NC(=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OC\C=C\C3=CC=CC=C3)C
S1294,O=C1CCC2=C(N1)C=CC(=C2)OCCCCC3=NN=N[N]3C4CCCCC4
S1299,OCC1OC(CC1O)N2C=C(F)C(=O)NC2=O
S1300,FC1=CN(C2CCCO2)C(=O)NC1=O
S1302,ClCCN[P]1(=O)OCCCN1CCCl
S1304,CC(=O)OC1(CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C)C(C)=O
S1305,S=C1N=CNC2=C1[NH]C=N2
S1312,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O
S1319,CC/1=C\CC\C(=C\C2OC(=O)C(=C)C2CC1)C
S1322,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
S1324,COC1=C(OC)C=C2C(=NC(=NC2=C1)N3CCN(CC3)C(=O)C4COC5=C(O4)C=CC=C5)N.C[S](O)(=O)=O
S1326,CC1=NN(C(=O)C1)C2=CC=CC=C2
S1328,CCC1=CC=CC2=C1[NH]C3=C2CCOC3(CC)CC(O)=O
S1330,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1
S1331,OC(C[N]1C=NC=N1)(C[N]2C=NC=N2)C3=C(F)C=C(F)C=C3
S1332,CCOC(=O)C1=C2CN(C)C(=O)C3=CC(=CC=C3[N]2C=N1)F
S1333,Cl.CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C2=CC=CC=C2
S1334,CCOC(=O)NC1=C(N)N=C(NCC2=CC=C(F)C=C2)C=C1.OC(=O)\C=C\C(O)=O
S1336,COCCCCC(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F.OC(=O)\C=C/C(O)=O
S1340,COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(=C1N3CCNC(C)C3)F)C4CC4
S1342,OC1=CC=C(C=C1)C2=COC3=C(C(=CC(=C3)O)O)C2=O
S1344,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)[S](=O)(=O)NC(=O)NC3CCC(C)CC3)C1=O
S1351,CCC(C)C1OC2(CCC1C)CC3CC(C\C=C(C)\C(OC4CC(OC)C(OC5CC(OC)C(O)C(C)O5)C(C)O4)C(C)\C=C\C=C\6COC7C(O)C(=CC(C(=O)O3)C67O)C)O2
S1354,CC1=C(OCC(F)(F)F)C=CN=C1C[S](=O)C2=NC3=CC=CC=C3[NH]2
S1356,CCC(N1CCCC1=O)C(N)=O
S1357,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
S1358,CCOC(=O)N1CCC(CC1)=C2C3=C(CCC4=C2N=CC=C4)C=C(Cl)C=C3
S1359,[KH].CCCCC1=NC(=C(CO)[N]1CC2=CC=C(C=C2)C3=C(C=CC=C3)C4=NN=N[NH]4)Cl
S1367,CN(C)CCN1C(=O)C2=C3C(=CC=C2)C=C(N)C=C3C1=O
S1368,COC1=CC(=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(=C1C)C)C
S1373,CCCCCCCCCC(=O)NC(CC1=C[NH]C2=C1C=CC=C2)C(=O)NC(CC(N)=O)C(=O)NC(CC(O)=O)C(=O)NC3C(C)OC(=O)C(CC(=O)C4=CC=CC=C4N)NC(=O)C(NC(=O)C(CO)NC(=O)CNC(=O)C(CC(O)=O)NC(=O)C(C)NC(=O)C(CC(O)=O)NC(=O)C(CCCN)NC(=O)CNC3=O)C(C)CC(O)=O
S1374,O.CC(O)C1C2C(C)C(=C(N2C1=O)C(O)=O)SC3CNC(CN[S](N)(=O)=O)C3
S1376,CCC12CCC3C(CCC4=CC(=O)CCC34)C1C=CC2(O)C#C
S1377,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C)C4C6CC6C57CCC(=O)O7
S1378,N#CCC(C1CCCC1)[N]2C=C(C=N2)C3=NC=NC4=C3C=C[NH]4
S1379,CC1=C(\C=C\C(C)=C\C=C\C(C)=C/C(O)=O)C(C)(C)CCC1
S1380,CC(C)C(N1CCCNC1=O)C(=O)NC(CC(O)C(CC2=CC=CC=C2)NC(=O)COC3=C(C)C=CC=C3C)CC4=CC=CC=C4
S1381,CC(O)C1C2C(C)C(=C(N2C1=O)C(O)=O)SC3CNC(C3)C(=O)N(C)C
S1382,Cl.CN1CCN2C(C1)C3=C(CC4=C2C=CC=C4)C=CC=C3
S1385,CCOC1=CC(=C(Cl)C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(F)C=C3)N.OC(=O)CC(O)(CC(O)=O)C(O)=O
S1386,C[S](O)(=O)=O.C[S](O)(=O)=O.NC(=N)NC1=CC=C(C=C1)C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(N)=N
S1387,Cl.Cl.COC1=CC=CC=C1N2CCN(CC2)CC(O)COC3=C4C=CC=CC4=CC=C3
S1389,COC1=CC=C2[NH]C(=NC2=C1)[S](=O)CC3=C(C)C(=C(C)C=N3)OC
S1390,Cl.C[N]1C2=C(C(=O)C(CC2)C[N]3C=CN=C3C)C4=CC=CC=C14
S1391,NC(=O)N1C2=C(CC(=O)C3=C1C=CC=C3)C=CC=C2
S1393,COC1=CC=CC2=C1C(=O)C3=C(O)C4=C(CC(O)(CC4OC5CC(N)C(OC6CCCCO6)C(C)O5)C(=O)CO)C(=C3C2=O)O
S1394,CN1CCC(CC1)=C2C3=C(CCC4=C2C=CC=C4)SC=C3.OC(CC(O)=O)C(O)=O
S1396,OC1=CC=C(C=C1)\C=C\C2=CC(=CC(=C2)O)O
S1397,[Br-].CC(=O)OC1C(CC2C3CCC4CC(O)C(CC4(C)C3CCC12C)N5CCOCC5)[N+]6(CCCC6)CC=C
S1398,CC1=CN(C2OC(CO)C=C2)C(=O)NC1=O
S1400,CC(C)OC(=O)OCO[P](=O)(COC(C)C[N]1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C.OC(=O)/C=C/C(O)=O
S1401,CC(C[N]1C=NC2=C(N)N=CN=C12)OC[P](O)(O)=O
S1403,CN(C)C1C2CC3CC4=C(C(=C(NC(=O)CNC(C)(C)C)C=C4N(C)C)O)C(=O)C3=C(O)C2(O)C(=O)C(=C1O)C(N)=O
S1404,CC12CCC3C(CCC45OC4C(=C(CC35C)C#N)O)C1CCC2O
S1405,[Br-].CC(=O)OC1CC2CCC3C(CCC4(C)C3CC(C4OC(C)=O)[N+]5(C)CCCCC5)C2(C)CC1N6CCCCC6
S1407,CCNC(=O)CCC\C=C/CC1C(O)CC(O)C1/C=C/C(O)CCC2=CC=CC=C2
S1408,CC(=O)NCC1CN(C(=O)O1)C2=CC=C(N3CCOCC3)C(=C2)F
S1409,Cl.COC1=C(OC)C=C2C(=NC(=NC2=C1)N(C)CCCNC(=O)C3CCCO3)N
S1415,COC(=O)C(N1CCC2=C(C1)C=CS2)C3=C(Cl)C=CC=C3.O[S](O)(=O)=O
S1425,Cl.Cl.COC1=CC=CC=C1OCC(O)CN2CCN(CC2)CC(=O)NC3=C(C)C=CC=C3C
S1426,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(O)=O
S1430,COC1=C(OC2CCCC2)C=C(C=C1)C3CNC(=O)C3
S1431,CCCC1=N[N](C)C2=C1N=C(NC2=O)C3=CC(=CC=C3OCC)[S](=O)(=O)N4CCN(C)CC4.OC(=O)CC(O)(CC(O)=O)C(O)=O
S1432,CN[S](=O)(=O)CC1=CC=C2[NH]C=C(CCN(C)C)C2=C1.OC(=O)CCC(O)=O
S1435,CCOC1=C(OCCNC(C)CC2=CC=C(OC)C(=C2)[S](N)(=O)=O)C=CC=C1
S1437,Cl.ClC1=C(NC2=NCCN2)C3=NSN=C3C=C1
S1438,CC1(C)OC2COC3(CO[S](N)(=O)=O)OC(C)(C)OC3C2O1
S1439,COC1=C(OC)C=C(\C=C\C(=O)NC2=CC=CC=C2C(O)=O)C=C1
S1441,Cl.COC1=CC=C(C=C1)C(CN(C)C)C2(O)CCCCC2
S1442,CC(C1=NC=NC=C1F)C(O)(C[N]2C=NC=N2)C3=CC=C(F)C=C3F
S1443,CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1
S1444,Cl.ClC1=CC2=C(CC(=O)N2)C=C1CCN3CCN(CC3)C4=NSC5=C4C=CC=C5
S1445,N[S](=O)(=O)CC1=NOC2=CC=CC=C12
S1453,C[N]1C=NC=C1C(N)(C2=CC=C(Cl)C=C2)C3=CC4=C(C=C3)N(C)C(=O)C=C4C5=CC(=CC=C5)Cl
S1457,COC(=O)NC(C(=O)NC(CC1=CC=CC=C1)C(O)CN(CC2=CC=C(C=C2)C3=NC=CC=C3)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C.O[S](O)(=O)=O
S1458,FC1=CC(=C(SC2=NN3C=NC(=O)C(=C3C=C2)C4=C(Cl)C=CC=C4Cl)C=C1)F
S1465,Cl.COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(=C1N3CC4CCCNC4C3)F)C5CC5
S1466,CC(CCCC(C)(C)O)C1CCC2\C(CCCC12C)=C\C=C/3CC(O)CC(O)C3=C
S1467,CC(C)C(C)/C=C/C(C)C1CCC2C(/CCCC12C)=C/C=C/3CC(O)CC(O)C3=C
S1468,CC(C)CCCC(C)C1CCC2/C(CCCC12C)=C\C=C3/CC(O)CC(O)C3=C
S1472,CC(NCC1=CC=C(OCC2=CC(=CC=C2)F)C=C1)C(N)=O.C[S](O)(=O)=O
S1482,COC(=O)NC(C(C)C)C(=O)N1CCCC1C2=NC=C([NH]2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C([NH]5)C6CCCN6C(=O)C(NC(=O)OC)C(C)C
S1483,COC1=C(OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)C=CC(=C1)C(C)=O
S1485,COC1=CC=C(C=C1)[S](=O)(=O)N(C(C)=O)C2=C(C=CC=C2)\C=C\C3=CC=[N+]([O-])C=C3
S1488,Cl.CN[S](=O)(=O)CCC1=CC=C2[NH]C=C(C3CCN(C)CC3)C2=C1
S1490,CN1CCN(CC1)CC2=C(C=C(NC(=O)C3=CC(=C(C)C=C3)C#CC4=CN=C5C=CC=N[N]45)C=C2)C(F)(F)F
S1491,NC1=NC(=NC2=C1N=C[N]2C3OC(CO)C(O)C3O)F
S1497,NC1=NC(=C2N=C(CC(CC#C)C3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)C=NC2=N1)N
S1499,O.NC(C(=O)NC1C2SCC(=C(N2C1=O)C(O)=O)Cl)C3=CC=CC=C3
S1500,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
S1501,COC1=C(C)C2=C(C(=O)OC2)C(=C1C\C=C(C)\CCC(=O)OCCN3CCOCC3)O
S1504,CN1C(=O)N(C)C2=C([N](CC(O)CO)C=N2)C1=O
S1505,CC1C(NC(=O)\C(=N/OC(C)(C)C(O)=O)C2=CSC(=N2)N)C(=O)N1[S](O)(=O)=O
S1508,CCCCCC(O)/C=C/C1C(O)CC(=O)C1CCCCCCC(O)=O
S1511,OCC(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(=O)CO
S1512,CN1CC(=O)N2C(CC3=C([NH]C4=C3C=CC=C4)C2C5=CC=C6OCOC6=C5)C1=O
S1514,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
S1517,CC1C/C=C/C=C/C=C/C=C/C(CC2OC(O)(CC(O)CC3OC3/C=C/C(=O)O1)CC(O)C2C(O)=O)OC4OC(C)C(O)C(N)C4O
S1526,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=C[N]4C(=N3)SC5=CC(=CC=C45)OCCN6CCOCC6
S1538,CCCC(NC(=O)C1C2CCCC2CN1C(=O)C(NC(=O)C(NC(=O)C3=NC=CN=C3)C4CCCCC4)C(C)(C)C)C(=O)C(=O)NC5CC5
S1540,NC(C(=O)N1C(CC2CC12)C#N)[C]34CC5[CH2]C(C[C](O)(C5)C3)C4
S1547,CC(C)COC1=C(C=C(C=C1)C2=NC(=C(S2)C(O)=O)C)C#N
S1548,CCOC1=CC=C(CC2=CC(=CC=C2Cl)C3OC(CO)C(O)C(O)C3O)C=C1
S1549,Cl.OC(CNCC(O)C1CCC2=C(O1)C=CC(=C2)F)C3CCC4=CC(=CC=C4O3)F
S1550,COC1=CC=C(C=C1)C2=NC3=CC(=CC=C3[NH]2)C4=NNC(=O)CC4C
S1553,NC1=C(F)C=C(F)C(=N1)N2C=C(C(O)=O)C(=O)C3=CC(=C(N4CC(O)C4)C(=C23)Cl)F
S1565,CC1=C(N=C(NC(=O)C2(CC2)C3=CC4=C(OC(F)(F)O4)C=C3)C=C1)C5=CC=CC(=C5)C(O)=O
S1567,NC1=C2C(=O)N(C3CCC(=O)NC3=O)C(=O)C2=CC=C1
S1569,CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(SCCC3(C)C)C=C2
S1573,Cl.O=[S](=O)(N1CCCNCC1)C2=C3C=CN=CC3=CC=C2
S1576,OC(=O)C1=C(O)C=CC(=C1)N=NC2=CC=C(C=C2)[S](=O)(=O)NC3=CC=CC=N3
S1578,CCOC1=NC2=C([N]1CC3=CC=C(C=C3)C4=CC=CC=C4C5=N[NH]N=N5)C(=CC=C2)C(O)=O
S1591,CC(C)CC(NC(=O)C(O)C(N)CC1=CC=CC=C1)C(O)=O
S1593,COC1=CC=C(C=C1)[N]2N=C(C(N)=O)C3=C2C(=O)N(CC3)C4=CC=C(C=C4)N5CCCCC5=O
S1601,COC1C(CC2CN3CCC4=C([NH]C5=C4C=CC(=C5)OC)C3CC2C1C(=O)OC)OC(=O)C6=CC(=C(OC)C(=C6)OC)OC
