ID,SMILES,CAS
D0108,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,50-23-7
D0109,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,50-03-3
D0110,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,57524-89-7 
D0111,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,13609-67-1 
D0112,CNC(C)(C)Cc1ccccc1,100-92-5 
D0113,NNc1nncc2ccccc12,86-54-4
D0114,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,76-57-3
D0115,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,50-33-9
D0116,CCC1(CC)C(=O)NC(=O)N(C)C1=O,50-11-3
D0117,NNC(=O)c1ccncc1,54-85-3
D0118,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,306-40-1 
D0119,C[C@@H](CNC1CCCCC1)OC(=O)c1ccccc1,532-77-4 
D0120,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,144-82-1 
D0121,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,58-14-0
D0122,CCN(CC)CCOC(=O)c1ccc(N)cc1,59-46-1
D0123,C[C@H](COc1ccccc1)N(CCCl)Cc1ccccc1,59-96-1
D0124,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,829-74-3 
D0126,C[C@@H](COc1ccccc1)N(CCCl)Cc1ccccc1,59-96-1
D0127,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,77-07-6
D0128,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,298-50-0 
D0129,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,57-41-0
D0130,CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1,486-16-8 
D0131,O=C1c2ccccc2C(=O)C1c1ccccc1,83-12-5
D0132,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,13265-10-6 
D0133,CN1C(=O)C[C@@H](c2ccccc2)C1=O,86-34-0
D0134,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,499-67-2 
D0135,CN(C)CCO[C@H](c1ccc(Cl)cc1)c1ccccn1,486-16-8 
D0136,CC(=O)Nc1nnc(S(N)(=O)=O)s1,59-66-5
D0137,O[C@@](CCN1CCCCC1)(c1ccccc1)C1CCCC1,77-39-4
D0138,COc1c2occc2cc2ccc(=O)oc12,298-81-7 
D0139,S=c1nc[nH]c2nc[nH]c12,50-44-2
D0140,CCN(CC)[C@@H](C)CN1c2ccccc2Sc2ccccc21,522-00-9 
D0141,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,50-55-5
D0142,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,50-53-3
D0143,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,58-22-0
D0144,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,57-85-2
D0145,NC(=[NH2+])C1=CC(=O)/C(=C\C=c2ccc(=C(N)N)cc2)C=C1,495-99-8 
D0146,CCC1(c2ccccc2)C(=O)NCNC1=O,125-33-7 
D0147,CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,81-81-2
D0148,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,57-83-0
D0149,Cn1c(=O)c2[n-]cnc2n(C)c1=O,46155-92-4 
D0150,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1,17598-65-1 
D0151,CC[N+](CC)(CC)CC[C@@](O)(c1ccccc1)C1CCCCC1,4310-35-4
